text,label
I finally understood the math concept today!,Positive
I forgot to bring my notes to class.,Negative
My meeting ended earlier than expected.,Neutral
The group project is progressing well.,Positive
I missed an important deadline.,Negative
I learned something new in the seminar.,Positive
My internet kept disconnecting during the lecture.,Negative
The teacher praised my presentation.,Positive
I feel overwhelmed with assignments.,Negative
I'm enjoying the new course material.,Positive
My boss was impressed with my report.,Positive
I couldn't focus on my work today.,Negative
I finished my homework ahead of time.,Positive
I'm worried about the upcoming test.,Negative
I got promoted to team leader!,Positive
I had no motivation to study today.,Negative
I love collaborating with my classmates.,Positive
The lecture was hard to follow.,Negative
I stayed organized this week.,Positive
I didn't understand the tutorial.,Negative
My coworker helped me with a task.,Positive
I'm behind on my reading list.,Negative
I feel confident about my skills today.,Positive
The software crashed during my presentation.,Negative
I had a productive study session.,Positive
The project requirements keep changing.,Negative
My manager gave me positive feedback.,Positive
I forgot about the meeting.,Negative
I had a calm and steady workday.,Neutral
I nailed the interview!,Positive
My laptop battery died during a meeting.,Negative
I made progress on my thesis.,Positive
I'm struggling with time management.,Negative
The training session was informative.,Positive
I missed an assignment submission.,Negative
I'm excited about the new semester.,Positive
My ideas were rejected in the meeting.,Negative
I received a scholarship today!,Positive
I'm feeling tired and distracted.,Negative
I had a constructive one-on-one with my boss.,Positive
I'm unsure about what to do next.,Neutral
My coding assignment finally worked!,Positive
I spilled coffee on my notes.,Negative
I enjoy working with my team.,Positive
I feel like I'm falling behind.,Negative
My paper got accepted to a journal.,Positive
I'm confused about the instructions.,Negative
I completed all my goals today.,Positive
I'm not sure if I did well on the test.,Neutral
My class was canceled today.,Neutral
I solved a complex problem at work.,Positive
My manager ignored my input.,Negative
I had a great brainstorming session.,Positive
I forgot the due date of my assignment.,Negative
I’m happy with my presentation.,Positive
My group isn't cooperating.,Negative
I stayed late to finish my task.,Neutral
I'm learning a lot from this internship.,Positive
I feel stressed about the exam.,Negative
My mentor appreciated my efforts.,Positive
I feel bored in this class.,Negative
I received a thank-you note from a colleague.,Positive
I'm disappointed with my performance.,Negative
My team completed the task on time.,Positive
I can't keep up with the lectures.,Negative
I'm satisfied with my progress.,Positive
I feel stuck in my current role.,Negative
My hard work paid off today.,Positive
The feedback I got was unclear.,Negative
I'm grateful for my helpful professor.,Positive
I struggled with the assignment.,Negative
My teammates are very supportive.,Positive
I made a mistake during the demo.,Negative
I enjoy learning this subject.,Positive
I lost track of time during the test.,Negative
I had a relaxing day with no tasks.,Neutral
I got a high grade on the quiz.,Positive
I couldn't complete the task.,Negative
I'm excited to start a new project.,Positive
I feel anxious about my workload.,Negative
My manager trusted me with a new responsibility.,Positive
I'm not interested in the course material.,Negative
I found a more efficient solution.,Positive
I overslept and missed class.,Negative
I got everything done ahead of schedule.,Positive
I feel pressure to perform better.,Negative
I'm proud of my presentation.,Positive
I didn’t prepare well for the exam.,Negative
My suggestion was well received.,Positive
I keep procrastinating.,Negative
I managed my time well today.,Positive
I'm frustrated with the slow progress.,Negative
I received positive comments on my essay.,Positive
I forgot to submit my timesheet.,Negative
I'm learning new skills every day.,Positive
I had a disagreement with my supervisor.,Negative
I'm comfortable with today's workload.,Neutral
The workshop gave me great insights.,Positive
I'm feeling burned out.,Negative
I enjoy mentoring new employees.,Positive
I'm unsure about the assignment requirements.,Neutral
My exam results were better than expected.,Positive
I'm not confident in my answers.,Negative
My ideas were acknowledged in the meeting.,Positive
I feel unprepared for tomorrow.,Negative
I'm enjoying the learning process.,Positive
The deadline was moved earlier.,Negative
My team supported my decision.,Positive
I'm confused about the next steps.,Neutral
I got praised for my creativity.,Positive
I didn’t sleep well last night.,Negative
I was recognized for my effort.,Positive
I struggled with the group task.,Negative
My supervisor gave me helpful advice.,Positive
I feel nervous about my performance.,Negative
I'm happy with my current role.,Positive
The project was delayed again.,Negative
I found the lecture very engaging.,Positive
I forgot to save my work.,Negative
My coworker complimented my work.,Positive
I missed an important meeting.,Negative
I feel focused and motivated today.,Positive
I'm unsure how to solve this problem.,Neutral
My proposal got accepted!,Positive
I didn't meet my weekly goals.,Negative
I received support from my mentor.,Positive
I'm tired of repetitive tasks.,Negative
I had a good discussion with my professor.,Positive
My internet was unstable during class.,Negative
I got excellent feedback!,Positive
I failed to deliver the report on time.,Negative
I'm getting better at time management.,Positive
I didn’t understand today’s topic.,Negative
I’m learning something valuable every day.,Positive
I feel stuck on this assignment.,Negative
I’m proud of how I handled that challenge.,Positive
I forgot to attend the online class.,Negative
My suggestions were taken seriously.,Positive
I feel behind in this course.,Negative
I made a breakthrough in my project.,Positive
I couldn’t concentrate today.,Negative
My efforts are finally being noticed.,Positive
I'm not making any progress.,Negative
I received a job offer today!,Positive
I feel frustrated with this software.,Negative
I got an A on my final exam!,Positive
I missed the project kickoff.,Negative
I enjoyed today's lecture.,Positive
I ran out of time on the test.,Negative
I completed the training with high marks.,Positive
I feel unsure about my future plans.,Neutral
I received praise in front of the team.,Positive
I got no response to my email.,Negative
I'm excited about my internship offer.,Positive
I didn't perform well in the meeting.,Negative
I got to lead today's discussion.,Positive
I feel like I wasted time today.,Negative
My manager encouraged my development.,Positive
I couldn’t focus in the noisy environment.,Negative
I’m making steady progress.,Positive
I submitted my paper just in time.,Neutral
I feel anxious about the group work.,Negative
My code worked perfectly today!,Positive
I forgot my password before the test.,Negative
I got good feedback on my draft.,Positive
I didn't understand the lecture content.,Negative
My efforts are being recognized.,Positive
I'm not satisfied with my results.,Negative
I’m proud of my team’s collaboration.,Positive
I'm struggling to keep up with deadlines.,Negative
I'm feeling productive and creative today.,Positive
I couldn’t join the meeting due to connection issues.,Negative
I feel like I’m improving every day.,Positive
I was late for class again.,Negative
My teacher appreciated my input.,Positive
I have too much on my plate.,Negative
I was selected for the competition!,Positive
I didn’t get enough time to revise.,Negative
My teammate thanked me for the help.,Positive
I'm overwhelmed by all the reading.,Negative
I completed all my assignments early.,Positive
I had technical issues during class.,Negative
I finally grasped the topic.,Positive
My laptop crashed during my work.,Negative
I'm starting to enjoy this subject.,Positive
I feel lost in this course.,Negative
I received kind words from my professor.,Positive
I ran out of time to prepare.,Negative
I got invited to speak at a seminar.,Positive
I didn’t manage my time well.,Negative
My boss appreciated my initiative.,Positive
I'm disappointed with my test score.,Negative
My plan worked just as I expected.,Positive
I didn’t complete my checklist today.,Negative
My ideas were welcomed by the group.,Positive
I feel drained and unmotivated.,Negative
My professor said I’ve improved a lot.,Positive
I forgot to check the assignment portal.,Negative
I'm excited to present my findings.,Positive
I'm not enjoying this subject anymore.,Negative
I feel ready for the next challenge.,Positive
I'm not confident about my submission.,Negative
I completed my task ahead of schedule.,Positive
I forgot to review the material.,Negative
My mentor gave me valuable advice.,Positive
I'm falling behind on my goals.,Negative
I enjoyed collaborating with my peers.,Positive
I feel stuck and uninspired.,Negative
My hard work is paying off.,Positive
I missed the class discussion.,Negative
I had a really focused study session.,Positive
I’m not sure if I passed the test.,Neutral
I was praised for my problem-solving skills.,Positive
I'm disappointed by my lack of progress.,Negative
My supervisor supported my initiative.,Positive
I forgot the assignment instructions.,Negative
I'm gaining confidence every day.,Positive
I feel unmotivated to study.,Negative
My group project turned out great!,Positive
I couldn’t attend the team meeting.,Negative
I feel content with today's productivity.,Positive
I have too many things to do at once.,Negative
My research is moving in the right direction.,Positive
I was criticized unfairly in the meeting.,Negative
I received a certificate of achievement.,Positive
I'm confused about the expectations.,Neutral
I finally finished my reading list.,Positive
I didn’t manage to complete the quiz.,Negative
I'm thankful for my helpful colleagues.,Positive
I feel stressed about tomorrow's deadline.,Negative
My writing was praised by the editor.,Positive
I'm having trouble concentrating today.,Negative
I nailed my class presentation.,Positive
I'm worried I misunderstood the task.,Negative
My productivity is improving.,Positive
I submitted the wrong file.,Negative
I felt inspired after the workshop.,Positive
I keep making the same mistakes.,Negative
I feel accomplished today.,Positive
I'm still waiting for feedback.,Neutral
I feel more prepared than before.,Positive
My software froze in the middle of work.,Negative
I received helpful comments on my draft.,Positive
I was too distracted to study.,Negative
I completed the project with minimal errors.,Positive
I forgot to upload my homework.,Negative
I'm proud of my improvement.,Positive
I don't understand the new topic.,Negative
My suggestion improved the workflow.,Positive
I'm not happy with the team dynamics.,Negative
I feel satisfied with my learning progress.,Positive
I had trouble following the instructions.,Negative
My professor encouraged me to continue.,Positive
I'm unsure if I did the assignment right.,Neutral
I got selected for the student panel!,Positive
I had no energy to work today.,Negative
I'm grateful for my learning experience.,Positive
I received no guidance on the task.,Negative
My code passed all the tests.,Positive
I made several errors in the report.,Negative
I enjoyed today's workshop.,Positive
I feel like I'm not learning anything.,Negative
My feedback was used in the final design.,Positive
I'm stressed about meeting expectations.,Negative
My team respected my ideas.,Positive
I forgot the homework completely.,Negative
I got recognition from upper management.,Positive
I'm worried I didn’t meet the requirements.,Negative
I'm excited for tomorrow's project launch.,Positive
I feel disconnected from the class.,Negative
My boss thanked me for my dedication.,Positive
I got confused during the lecture.,Negative
