text,label
Tôi học được điều mới trong lớp,Positive
Tôi bị điểm kém trong bài kiểm tra,Negative
Hôm nay tôi có một buổi họp,Neutral
Làm việc nhóm hôm nay rất hiệu quả,Positive
Tôi cảm thấy không hiểu bài học hôm nay,Negative
Tôi đang làm báo cáo,Neutral
Thuyết trình của tôi được đánh giá cao!,Positive
Tôi làm mất tài liệu quan trọng,Negative
Tôi đang đọc tài liệu tham khảo,Neutral
Giải được bài toán khó cảm thấy thật tuyệt,Positive
Tôi đến lớp đúng giờ,Neutral
Tôi vừa hoàn thành bài kiểm tra rất tốt,Positive
Họp nhóm mà không ai hợp tác,Negative
Tôi viết nhật ký học tập mỗi ngày,Neutral
Tôi được chọn làm trưởng nhóm,Positive
Tôi cảm thấy mình đang tụt lại phía sau,Negative
Hôm nay trời mưa nên tôi làm việc ở nhà,Neutral
Đạt điểm cao trong kỳ thi vừa rồi.,Positive
Tôi không được chọn cho dự án mình muốn,Negative
Tôi đang ôn lại bài cũ,Neutral
Tôi cảm thấy tiến bộ từng ngày trong công việc,Positive
Hôm nay tôi đi học muộn.,Negative
Công việc vẫn diễn ra như thường lệ,Neutral
Hôm nay tôi được sếp khen!,Positive
Công việc quá tải khiến tôi căng thẳng,Negative
Tôi đến lớp đúng giờ.,Neutral
Cảm thấy rất hào hứng với dự án mới,Positive
Bị phê bình trước cả nhóm.,Negative
Tôi đang đọc tài liệu tham khảo.,Neutral
Thuyết trình của tôi được đánh giá cao,Positive
Tôi bị điểm kém trong bài kiểm tra.,Negative
Giải được bài toán khó cảm thấy thật tuyệt!,Positive
Tôi không được chọn cho dự án mình muốn.,Negative
Hôm nay tôi có một buổi họp.,Neutral
Tôi được chọn làm trưởng nhóm.,Positive
Tôi cảm thấy mình đang tụt lại phía sau.,Negative
Tôi viết nhật ký học tập mỗi ngày.,Neutral
Tôi cảm thấy tiến bộ từng ngày trong công việc.,Positive
Họp nhóm mà không ai hợp tác.,Negative
Hôm nay trời mưa nên tôi làm việc ở nhà.,Neutral
Đạt điểm cao trong kỳ thi vừa rồi!,Positive
Công việc quá tải khiến tôi căng thẳng.,Negative
Tôi đang ôn lại bài cũ.,Neutral
Không hoàn thành deadline đúng hạn!,Negative
Sáng nay tôi uống cà phê rồi đến công ty.,Neutral
Tôi vừa hoàn thành bài kiểm tra rất tốt!,Positive
Tôi làm mất tài liệu quan trọng.,Negative
Buổi học hôm nay kéo dài hai tiếng.,Neutral
Tôi học được điều mới trong lớp.,Positive
Tôi cảm thấy không hiểu bài học hôm nay.,Negative
Tôi đang đọc tài liệu tham khảo!,Neutral
Làm việc nhóm hôm nay rất hiệu quả.,Positive
Bị phê bình trước cả nhóm!,Negative
Tôi viết nhật ký học tập mỗi ngày!,Neutral
Thuyết trình của tôi được đánh giá cao.,Positive
Tôi bị điểm kém trong bài kiểm tra!,Negative
Hôm nay tôi có một buổi họp!,Neutral
Giải được bài toán khó cảm thấy thật tuyệt.,Positive
Họp nhóm mà không ai hợp tác!,Negative
Tôi đang ôn lại bài cũ!,Neutral
Tôi vừa hoàn thành bài kiểm tra rất tốt.,Positive
Tôi không được chọn cho dự án mình muốn!,Negative
Công việc vẫn diễn ra như thường lệ.,Neutral
Tôi được chọn làm trưởng nhóm!,Positive
Tôi cảm thấy mình đang tụt lại phía sau!,Negative
Hôm nay trời mưa nên tôi làm việc ở nhà!,Neutral
Tôi cảm thấy tiến bộ từng ngày trong công việc!,Positive
Tôi làm mất tài liệu quan trọng!,Negative
Tôi đang làm báo cáo!,Neutral
Tôi đến lớp đúng giờ!,Neutral
Cảm thấy rất hào hứng với dự án mới!,Positive
Sáng nay tôi uống cà phê rồi đến công ty!,Neutral
Công việc quá tải khiến tôi căng thẳng!,Negative
Tôi học được điều mới trong lớp!,Positive
Tôi cảm thấy không hiểu bài học hôm nay!,Negative
Công việc vẫn diễn ra như thường lệ!,Neutral
Làm việc nhóm hôm nay rất hiệu quả!,Positive
Cảm thấy rất hào hứng với dự án mới.,Positive
Tôi đang làm báo cáo.,Negative
Tôi học được điều mới trong lớp.,Neutral
Công việc quá tải khiến tôi căng thẳng.,Neutral
Chưa hoàn thành mục tiêu công việc của mình.,Negative
Tôi cảm thấy rất hào hứng với dự án mới!,Positive
Tôi không hiểu bài hôm nay!,Negative
Họp nhóm hôm nay rất hiệu quả!,Positive
Tôi không hiểu bài học hôm nay!,Negative
Tôi vừa hoàn thành báo cáo đúng hạn!,Positive
Tôi không thể tập trung trong buổi học hôm nay!,Negative
Tôi cảm thấy rất tự hào về thành tích công việc của mình!,Positive
Tôi cảm thấy bối rối khi giải quyết vấn đề này!,Negative
Tôi đang chuẩn bị cho kỳ thi cuối kỳ!,Neutral
